SCORING SYSTEM;0;No or undetectable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Climate index as an entry point -->;2050;RCP2.6;1;3;2;3;5;3;0;5;0;5;0;5;0;5;1;4;1;1;0;3;3;3;2;2;2;2;1;2;6;2;1;1;1;1;na*;na;2;1;;;2050;RCP2.6;33;0;15;30;20;132;22;50,6;0;11,4;22,8;15,2;100;;2050;RCP2.6;3;5;3;2;1;3
;;RCP8.5;1;3;2;3;5;3;0;5;0;5;0;5;0;5;1;3;2;1;0;3;5;2;2;2;2;2;1;2;6;2;3;1;1;1;na;na;4;1;;;;RCP8.5;33;0;25;30;40;162;27;41,2;0;15,5;18,6;24,7;100;;;RCP8.5;3;5;2;2;1;3
;2090;RCP2.6;2;2;3;3;8;3;0;5;0;5;1;2;1;4;0;3;2;1;1;3;5;2;4;3;4;2;3;2;14;2;3;1;3;1;na;na;6;1;;;2090;RCP2.6;53;7;25;70;60;268;45;39,8;2,5;9,3;26,1;22,4;100;;2090;RCP2.6;3;4;2;2;1;2
;;RCP8.5;3;2;5;3;13;3;0;5;0;5;3;2;3;4;0;3;3;1;1;3;7;2;5;3;5;3;4;2;18;3;5;1;4;1;na;na;9;1;;;;RCP8.5;87;20;35;90;90;408;68;42,4;4,9;8,6;22;22;100;;;RCP8.5;3;4;2;3;1;3
;;;;;;;total;mean;;;;;;;total;mean;;;;;;;total;mean;;;;;;;total;mean;;;;;* See SM for explanations;;total;mean;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FOGAFALE (Funafuti, Tuvalu) 
= illustrative of ""urban island/Pacifc"" more generally";;;Risk to Pillar 1 (Land);;;;;;Risk to Pillar 2 (Freshwater Supply);;;;;;;;Risk to Pillar 3 (Food Supply);;;;;;;;Risk to Pillar 4 (Settlement & Infrastructures);;;;;;;;Risk to Pillar 5 (Economic opportunities);;;;;;;;;;"Urban atoll island, Western Pacific
(e.g. Fogafale, Tuvalu)";;Mean score per pillar;;;;;Aggregated risk to habitability (with weighting, i.e. Pillar1 *2);;Pillars' contribution (weighted, Pillar 1*2) to aggregated risks (%);;;;;;;"Urban atoll island, Western Pacific
(e.g. Fogafale, Tuvalu)";;Mean score per pillar;;;;;Mean confidence level across Habitability Pillars
;;;"C1.1 
Coastal erosion";;"C1.2
Flooding
**";;Combination;;"C2.1
Fresh groundwater salinization/loss";;"C2.2
Decrease in rainwater harvesting";;"C2.3
Decrease in desalination";;Combination;;"C3.1
Reduced reef fisheries production
**";;"C3.2
Redistribution of tuna";;"C3.3
Reduced production of crops and livestocks ";;Combination;;"C4.1
Loss of settlements";;"C4.2
Loss of critical infrastructure";;"C4.3
Loss of transport connectivity
**";;Combination;;"C5.1
Reduction in tuna fisheries revenue";;"C5.2
Reduction in tourism revenue";;"C5.3
Reduction in other revenue streams (aquaculture, etc.)";;Combination;;;;;;"Pillar 1
(Land)";"Pillar 2
(Freshwater Supply)";"Pillar 3
(Food Supply)";"Pillar 4
(Settlement & Infrastructures)";"Pillar 5
(Economic opportunities)";Sum of weighted scaled scores (0-600);Re-rescaled (0-100);"Pillar 1
(Land)";"Pillar 2
(Freshwater Supply)";"Pillar 3
(Food Supply)";"Pillar 4
(Settlement & Infrastructures)";"Pillar 5
(Economic opportunities)";;;;;"Pillar 1
(Land)";"Pillar 2
(Freshwater Supply)";"Pillar 3
(Food Supply)";"Pillar 4
(Settlement & Infrastructures)";"Pillar 5
(Economic opportunities)";
;;;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;;;;;;;;;;;;;;;;;;;;;;;;;;
Climate index as an entry point -->;2050;RCP2.6;2;2;3;3;8;3;0;5;1;2;0;5;1;4;2;3;1;2;1;3;6;3;3;3;4;3;4;3;15;3;1;2;1;1;na*;na;2;2;;;2050;RCP2.6;53;7;30;75;20;238;40;44,8;2,8;12,6;31,5;8,4;100;;2050;RCP2.6;3;4;3;3;2;3
;;RCP8.5;2;2;3;3;8;3;0;5;3;3;2;3;5;4;3;3;1;3;1;3;8;3;3;3;4;3;4;3;15;3;3;3;1;1;na;na;4;2;;;;RCP8.5;53;33;40;75;40;295;49;36,2;11,3;13,6;25,4;13,6;100;;;RCP8.5;3;4;3;3;2;3
;2090;RCP2.6;4;2;4;3;12;3;0;5;4;3;4;3;8;4;4;3;2;1;2;3;12;2;5;3;5;4;5;3;20;3;3;1;2;1;na;na;5;1;;;2090;RCP2.6;80;53;60;100;50;423;71;37,8;12,6;14,2;23,6;11,8;100;;2090;RCP2.6;3;4;2;3;1;3
;;RCP8.5;5;2;5;3;15;3;0;5;5;5;5;5;10;5;5;3;3;1;2;3;15;2;5;3;5;4;5;3;20;3;5;1;3;1;na;na;8;1;;;;RCP8.5;100;67;75;100;80;522;87;38,3;12,8;14,4;19,2;15,3;100;;;RCP8.5;3;5;2;3;1;3
;;;;;;;total;mean;;;;;;;total;mean;;;;;;;total;mean;;;;;;;total;mean;;;;;* See SM for explanations;;total;mean;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"TABITEUEA (North Tarawa, Kiribati) 
= illustrative of ""rural island/Western Pacifc"" more generally";;;Risk to Pillar 1 (Land);;;;;;Risk to Pillar 2 (Freshwater Supply);;;;;;;;Risk to Pillar 3 (Food Supply);;;;;;;;Risk to Pillar 4 (Settlement & Infrastructures);;;;;;;;Risk to Pillar 5 (Economic opportunities);;;;;;;;;;"Rural atoll island, Western Pacific
(e.g. Tabiteuea, Kiribati)";;Mean score per pillar;;;;;Aggregated risk to habitability (with weighting, i.e. Pillar1 *2);;Pillars' contribution (weighted, Pillar 1*2) to aggregated risks (%);;;;;;;"Rural atoll island, Western Pacific
(e.g. Tabiteuea, Kiribati)";;Mean score per pillar;;;;;Mean confidence level across Habitability Pillars
;;;"C1.1 
Coastal erosion";;"C1.2
Flooding
**";;Combination;;"C2.1
Fresh groundwater salinization/loss";;"C2.2
Decrease in rainwater harvesting";;"C2.3
Decrease in desalination";;Combination;;"C3.1
Reduced reef fisheries production
**";;"C3.2
Redistribution of tuna";;"C3.3
Reduced production of crops and livestocks ";;Combination;;"C4.1
Loss of settlements";;"C4.2
Loss of critical infrastructure";;"C4.3
Loss of transport connectivity
**";;Combination;;"C5.1
Reduction in tuna fisheries revenue";;"C5.2
Reduction in tourism revenue";;"C5.3
Reduction in other revenue streams (aquaculture, etc.)";;Combination;;;;;;"Pillar 1
(Land)";"Pillar 2
(Freshwater Supply)";"Pillar 3
(Food Supply)";"Pillar 4
(Settlement & Infrastructures)";"Pillar 5
(Economic opportunities)";Sum of weighted scaled scores (0-600);Re-rescaled (0-100);"Pillar 1
(Land)";"Pillar 2
(Freshwater Supply)";"Pillar 3
(Food Supply)";"Pillar 4
(Settlement & Infrastructures)";"Pillar 5
(Economic opportunities)";;;;;"Pillar 1
(Land)";"Pillar 2
(Freshwater Supply)";"Pillar 3
(Food Supply)";"Pillar 4
(Settlement & Infrastructures)";"Pillar 5
(Economic opportunities)";
;;;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;;;;;;;;;;;;;;;;;;;;;;;;;;
Climate index as an entry point -->;2050;RCP2.6;1;2;2;2;5;2;0;5;0;5;0;5;0;5;1;4;1;2;1;3;4;3;1;3;2;3;1;3;5;3;0;2;1;1;na*;na;1;2;;;2050;RCP2.6;33;0;20;25;10;122;20;54,8;0;16,4;20,5;8,2;100;;2050;RCP2.6;2;5;3;3;2;3
;;RCP8.5;2;2;2;2;6;2;0;3;0;5;0;5;0;4;3;4;2;3;1;3;9;3;1;3;2;3;1;3;5;3;0;3;1;1;na;na;1;2;;;;RCP8.5;40;0;45;25;10;160;27;50;0;28,1;15,6;6,3;100;;;RCP8.5;2;4;3;3;2;3
;2090;RCP2.6;3;2;3;2;9;2;2;2;1;1;0;3;3;2;4;4;2;1;2;3;12;3;3;2;4;2;2;2;11;2;0;1;3;1;na;na;3;1;;;2090;RCP2.6;60;20;60;55;30;285;48;42,1;7;21,1;19,3;10,5;100;;2090;RCP2.6;2;2;3;2;1;2
;;RCP8.5;4;2;5;2;14;2;4;2;2;1;2;1;8;1;5;3;2;1;4;2;16;2;5;3;5;3;3;2;16;3;3;1;4;1;na;na;7;1;;;;RCP8.5;93;53;80;80;70;470;78;39,7;11,3;17;17;14,9;100;;;RCP8.5;2;1;2;3;1;2
;;;;;;;total;mean;;;;;;;total;mean;;;;;;;total;mean;;;;;;;total;mean;;;;;* See SM for explanations;;total;mean;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"NOLHIVARANFARU (Haa Dhallu, Maldives) 
= illustrative of ""rural island/Indian ocean"" more generally";;;Risk to Pillar 1 (Land);;;;;;Risk to Pillar 2 (Freshwater Supply);;;;;;;;Risk to Pillar 3 (Food Supply);;;;;;;;Risk to Pillar 4 (Settlement & Infrastructures);;;;;;;;Risk to Pillar 5 (Economic opportunities);;;;;;;;;;"Rural atoll island, Indian Ocean
(e.g. Nolhivaranfaru, Maldives)";;Mean score per pillar;;;;;Aggregated risk to habitability (with weighting, i.e. Pillar1 *2);;Pillars' contribution (weighted, Pillar 1*2) to aggregated risks (%);;;;;;;"Rural atoll island, Indian Ocean
(e.g. Nolhivaranfaru, Maldives)";;Mean score per pillar;;;;;Mean confidence level across Habitability Pillars
;;;"C1.1 
Coastal erosion";;"C1.2
Flooding
**";;Combination;;"C2.1
Fresh groundwater salinization/loss";;"C2.2
Decrease in rainwater harvesting";;"C2.3
Decrease in desalination";;Combination;;"C3.1
Reduced reef fisheries production";;"C3.2
Redistribution of tuna
**";;"C3.3
Reduced production of crops and livestocks ";;Combination;;"C4.1
Loss of settlements";;"C4.2
Loss of critical infrastructure";;"C4.3
Loss of transport connectivity
**";;Combination;;"C5.1
Reduction in tuna fisheries revenue";;"C5.2
Reduction in tourism revenue";;"C5.3
Reduction in other revenue streams (aquaculture, etc.)";;Combination;;;;;;"Pillar 1
(Land)";"Pillar 2
(Freshwater Supply)";"Pillar 3
(Food Supply)";"Pillar 4
(Settlement & Infrastructures)";"Pillar 5
(Economic opportunities)";Sum of weighted scaled scores (0-600);Re-rescaled (0-100);"Pillar 1
(Land)";"Pillar 2
(Freshwater Supply)";"Pillar 3
(Food Supply)";"Pillar 4
(Settlement & Infrastructures)";"Pillar 5
(Economic opportunities)";;;;;"Pillar 1
(Land)";"Pillar 2
(Freshwater Supply)";"Pillar 3
(Food Supply)";"Pillar 4
(Settlement & Infrastructures)";"Pillar 5
(Economic opportunities)";
;;;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;;;;;;;;;;;;;;;;;;;;;;;;;;
Climte index as an entry point;2050;RCP2.6;1;2;2;2;5;2;0;5;0;5;0;5;0;5;1;2;1;1;0;3;3;2;1;2;1;2;1;3;4;2;0;1;1;1;na*;na;1;1;;;2050;RCP2.6;33;0;15;20;10;112;19;59,7;0;13,4;17,9;9;100;;2050;RCP2.6;2;5;2;2;1;2
;;RCP8.5;2;2;2;2;6;2;0;5;1;3;0;5;1;4;2;2;3;1;1;2;9;2;2;2;1;2;1;3;5;2;1;1;1;1;na;na;2;1;;;;RCP8.5;40;7;45;25;20;177;29;45,3;3,8;25,5;14,2;11,3;100;;;RCP8.5;2;4;2;2;1;2
;2090;RCP2.6;3;2;3;2;9;2;2;3;1;3;1;3;4;3;2;2;3;1;2;2;10;2;4;3;3;3;2;2;11;3;1;1;3;1;na;na;4;1;;;2090;RCP2.6;60;27;50;55;40;292;49;41,1;9,1;17,1;18,9;13,7;100;;2090;RCP2.6;2;3;2;3;1;2
;;RCP8.5;4;2;4;2;12;2;4;3;3;1;2;3;9;2;3;2;4;1;3;2;14;2;5;3;5;3;4;2;18;3;1;1;5;1;na;na;6;1;;;;RCP8.5;80;60;70;90;60;440;73;36,4;13,6;15,9;20,5;13,6;100;;;RCP8.5;2;2;2;3;1;2
;;;;;;;total;mean;;;;;;;total;mean;;;;;;;total;mean;;;;;;;total;mean;;;;;* See SM for explanations;;total;mean;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Total mean;2,5
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Pillars' contribution (weighted, Pillar 1*2) to aggregated risks (%)
MEANS across RCP and time horizons";;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Male', Maldives;43,5;1,8;11,2;22,4;21,1;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fogafale, Tuvalu;39,3;9,9;13,7;24,9;12,3;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tabiteuea, Kiribati;46,7;4,6;20,7;18,1;10;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nolhivaranfaru, Maldives;45,6;6,6;18;17,8;11,9;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Total mean (across cases);43,8;5,7;15,9;20,8;13,8;;;;;;;;;;
